Kontoauszug bis: 14.09.2026 ;;;
;;;
Kontonummer: 10 123.456.700;;;
Bezeichnung: Privatkonto;;;
Saldo: CHF 21889.05;;;
;;;
Muster Anna + Muster Beat;;;
Rainstrasse 1;;;
8712 Stäfa;;;
;;;
;;;
Datum;Buchungstext;Betrag;Saldo;Valuta
29.06.26;Zinsbelastung 10 123.456.704;-5580.00;21889.05;30.06.26
30.03.26;Zinsbelastung 10 123.456.704;-5580.00;27469.05;31.03.26
31.12.25;Abschluss;-3.00;33049.05;31.12.25
30.12.25;Zinsbelastung 10 123.456.704;-5580.00;33052.05;31.12.25
29.09.25;Zinsbelastung 10 123.456.704;-5580.00;38632.05;30.09.25
23.09.25;Gutschrift Muster A. und/oder Muster B.;40000.00;44212.05;23.09.25
27.06.25;Zinsbelastung 10 123.456.704;-5580.00;4212.05;30.06.25
28.03.25;Zinsbelastung 10 123.456.704;-5580.00;9792.05;31.03.25
31.12.24;Abschluss;-4.00;15372.05;31.12.24
30.12.24;Zinsbelastung 10 123.456.704;-5580.00;15376.05;31.12.24
06.12.24;Gutschrift Muster-Meier Anna oder Beat;20000.00;20956.05;06.12.24
27.09.24;Zinsbelastung 10 123.456.704;-5580.00;956.05;30.09.24
27.06.24;Zinsbelastung 10 123.456.704;-5580.00;6536.05;30.06.24
29.05.24;Gutschrift Muster-Meier Anna oder Beat;10000.00;12116.05;29.05.24
27.03.24;Zinsbelastung 10 123.456.703;-6970.30;2116.05;31.03.24
31.12.23;Abschluss;-0.90;9086.35;31.12.23
28.12.23;Zinsbelastung 10 123.456.703;-7067.45;9087.25;31.12.23
28.09.23;Zinsbelastung 10 123.456.703;-7077.55;16154.70;30.09.23
29.06.23;Zinsbelastung 10 123.456.703;-6147.95;23232.25;30.06.23
30.03.23;Zinsbelastung 10 123.456.703;-4621.20;29380.20;31.03.23
31.12.22;Saldovortrag;-8787.55;34001.40;31.12.22
